"id_fornecedor","nome","documento"
10,TechServer Solucoes,"00000010000110"
20,ConstruRio Engenharia,"00000020000120"
30,LimpMax Servicos,"00000030000130"
40,Papelaria Central,"00000040000140"
50,Seguranca Total Ltda,"00000050000150"
60,Transportes Rapido,"00000060000160"
70,Merenda Boa Alimentos,"00000070000170"
80,Saude Vida Distribuidora,"00000080000180"
90,Eventos & Promo,"00000090000190"
100,Consultoria Estrategica,"000001000001100"
110,Obras Viarias RJ,"000001100001110"
120,TI Inovacao,"000001200001120"
